,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
99,51.02.04.2004,Belumbang,Kerambitan,Tabanan,Bali,91.24,1.48,1.20,6.08,90.66,1.30,1.52,6.52,90.91,1.41,1.45,6.23,90.33,1.34,1.27,7.06,61.54,24.62,7.69,6.15,99.51,0.43,0.03,0.02,0.01
100,51.04.03.1008,Beng,Gianyar,Gianyar,Bali,92.50,1.97,1.03,4.49,91.74,2.33,1.08,4.85,92.37,1.97,0.99,4.67,91.61,2.24,1.30,4.85,100.00,0.00,0.00,0.00,99.38,0.52,0.04,0.03,0.02
101,51.08.08.2010,Bengkala,Kubutambahan,Buleleng,Bali,92.04,1.27,0.93,5.76,91.55,1.19,1.13,6.13,91.77,1.28,0.91,6.03,91.12,1.30,1.17,6.40,100.00,0.00,0.00,0.00,99.38,0.52,0.04,0.03,0.01
102,51.02.06.2001,Bengkel,Kediri,Tabanan,Bali,89.12,3.29,2.31,5.28,87.61,4.11,2.12,6.17,88.37,3.76,2.02,5.85,86.41,4.81,2.06,6.73,28.00,18.67,5.33,48.00,99.54,0.38,0.03,0.03,0.02
103,51.08.03.2013,Bengkel,Busungbiu,Buleleng,Bali,88.54,1.05,0.94,9.47,87.91,1.11,1.16,9.82,88.18,1.07,1.11,9.63,87.65,1.18,1.04,10.13,100.00,0.00,0.00,0.00,99.76,0.23,0.01,0.01,0.00
104,51.02.03.2011,Bengkel Sari,Selemadeg Barat,Tabanan,Bali,90.18,2.69,2.22,4.91,89.51,2.59,2.26,5.64,89.93,2.59,2.28,5.20,89.20,2.66,2.25,5.89,66.29,15.43,2.86,15.43,99.56,0.35,0.04,0.03,0.02
105,51.03.05.1004,Benoa,Kuta Selatan,Badung,Bali,88.46,6.16,2.53,2.84,87.04,6.70,2.86,3.40,87.64,6.51,2.73,3.12,85.93,6.83,3.39,3.84,50.15,8.02,2.92,38.92,99.46,0.47,0.03,0.03,0.01
106,51.02.02.2007,Beraban,Selemadeg Timur,Tabanan,Bali,86.59,6.13,2.69,4.59,85.36,6.53,3.15,4.96,85.20,6.64,3.41,4.75,84.03,6.88,3.87,5.23,9.30,12.79,8.14,69.77,99.53,0.42,0.02,0.02,0.01
107,51.02.06.2004,Beraban,Kediri,Tabanan,Bali,90.27,4.45,2.60,2.68,88.67,5.13,2.70,3.50,89.55,4.72,2.72,3.01,87.96,5.29,2.93,3.83,19.90,9.71,4.37,66.02,99.48,0.45,0.03,0.02,0.01
108,51.01.01.2005,Berangbang,Negara,Jembrana,Bali,88.52,1.63,1.75,8.10,87.78,1.69,1.66,8.87,88.10,1.66,1.73,8.52,87.19,1.65,1.74,9.42,100.00,0.00,0.00,0.00,99.50,0.39,0.05,0.04,0.02
109,51.08.06.1012,Beratan,Buleleng,Buleleng,Bali,96.24,2.51,1.25,0.00,93.42,4.08,2.51,0.00,94.98,3.45,1.57,0.00,86.83,5.64,4.08,3.45,100.00,0.00,0.00,0.00,99.48,0.43,0.04,0.03,0.02
110,51.02.01.2004,Berembeng,Selemadeg,Tabanan,Bali,89.21,2.49,1.50,6.81,88.28,2.68,1.56,7.48,88.68,2.53,1.62,7.17,87.77,2.91,1.60,7.72,88.89,4.63,0.93,5.56,99.49,0.44,0.03,0.03,0.01
111,51.02.07.2002,Beringkit Belayu,Marga,Tabanan,Bali,85.99,3.40,2.13,8.48,84.60,3.86,1.96,9.57,85.24,3.63,2.25,8.88,83.68,3.92,2.19,10.21,100.00,0.00,0.00,0.00,99.50,0.42,0.03,0.03,0.02
112,51.07.01.2004,Besakih,Rendang,Karangasem,Bali,96.51,0.60,0.42,2.47,96.16,0.62,0.49,2.72,96.36,0.62,0.46,2.55,95.86,0.59,0.55,3.00,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.00
113,51.05.04.2012,Besan,Dawan,Klungkung,Bali,89.73,1.83,1.45,6.99,88.74,2.12,1.59,7.56,89.38,1.88,1.56,7.18,88.12,2.10,1.71,8.07,100.00,0.00,0.00,0.00,99.74,0.22,0.02,0.02,0.01
114,51.08.02.2008,Bestala,Seririt,Buleleng,Bali,78.33,2.06,1.40,18.21,77.50,1.98,1.69,18.83,77.83,2.02,1.73,18.42,76.18,2.10,1.85,19.86,100.00,0.00,0.00,0.00,99.77,0.22,0.01,0.01,0.00
115,51.02.08.2005,Biaung,Penebel,Tabanan,Bali,92.20,2.41,1.80,3.59,90.96,2.57,1.87,4.61,91.61,2.44,1.88,4.07,89.96,2.73,2.09,5.23,100.00,0.00,0.00,0.00,99.58,0.36,0.03,0.02,0.02
116,51.08.08.2009,Bila,Kubutambahan,Buleleng,Bali,90.10,1.38,1.07,7.45,89.31,1.49,1.04,8.16,89.67,1.34,1.17,7.82,88.97,1.30,1.23,8.50,100.00,0.00,0.00,0.00,99.50,0.42,0.04,0.03,0.02
117,51.06.04.2002,Binyan,Kintamani,Bangli,Bali,84.76,0.98,0.77,13.50,83.78,0.98,0.64,14.60,83.99,1.06,0.64,14.30,83.40,0.81,1.02,14.77,100.00,0.00,0.00,0.00,99.66,0.29,0.02,0.01,0.01
118,51.04.03.1007,Bitera,Gianyar,Gianyar,Bali,89.81,3.07,2.17,4.95,88.05,3.66,2.64,5.65,89.16,3.23,2.46,5.15,86.85,4.25,2.58,6.32,100.00,0.00,0.00,0.00,99.43,0.47,0.05,0.04,0.02
119,51.04.02.2005,Blahbatuh,Blahbatuh,Gianyar,Bali,85.83,6.69,2.98,4.50,83.17,7.55,4.12,5.15,84.36,7.25,3.66,4.73,82.01,8.11,4.03,5.85,100.00,0.00,0.00,0.00,99.51,0.41,0.03,0.03,0.02
120,51.03.03.2011,Blahkiuh,Abiansemal,Badung,Bali,91.56,1.72,0.96,5.77,90.90,1.96,1.00,6.14,91.38,1.78,0.87,5.96,90.32,2.31,0.94,6.44,100.00,0.00,0.00,0.00,99.54,0.41,0.02,0.02,0.01
121,51.04.02.2009,Bona,Blahbatuh,Gianyar,Bali,89.02,2.64,2.26,6.08,87.37,3.14,2.33,7.16,88.25,2.91,2.30,6.54,86.34,2.76,2.76,8.15,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
122,51.08.09.2005,Bondalem,Tejakula,Buleleng,Bali,92.32,3.07,1.64,2.97,90.40,3.81,2.17,3.62,91.50,3.34,1.85,3.31,89.94,3.79,2.55,3.72,94.17,5.83,0.00,0.00,99.41,0.49,0.05,0.04,0.02
123,51.02.05.2003,Bongan,Tabanan,Tabanan,Bali,88.80,3.26,1.96,5.99,87.06,3.81,2.36,6.77,88.19,3.43,2.04,6.34,85.94,4.20,2.68,7.17,94.20,4.35,0.72,0.72,99.45,0.43,0.04,0.04,0.04
124,51.03.03.2009,Bongkasa,Abiansemal,Badung,Bali,90.27,1.55,1.34,6.85,87.89,1.72,1.36,9.03,88.70,1.48,1.27,8.54,86.20,1.82,1.78,10.20,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
125,51.03.03.2018,Bongkasa Pertiwi,Abiansemal,Badung,Bali,88.95,0.43,0.74,9.88,87.25,0.50,0.74,11.51,87.71,0.85,0.28,11.16,86.29,0.46,0.35,12.89,100.00,0.00,0.00,0.00,99.48,0.47,0.03,0.02,0.01
126,51.08.08.2003,Bontihing,Kubutambahan,Buleleng,Bali,86.89,1.64,1.50,9.97,86.28,1.64,1.40,10.68,86.45,1.59,1.53,10.43,85.51,1.66,1.48,11.35,100.00,0.00,0.00,0.00,99.60,0.37,0.02,0.01,0.00
127,51.06.04.2014,Bonyoh,Kintamani,Bangli,Bali,86.98,1.21,1.19,10.63,84.56,1.26,1.48,12.70,85.92,1.48,1.16,11.44,83.52,1.19,1.19,14.11,100.00,0.00,0.00,0.00,99.59,0.34,0.03,0.02,0.01
128,51.04.07.2009,Bresela,Payangan,Gianyar,Bali,91.94,0.62,0.84,6.61,91.81,0.57,0.53,7.09,91.89,0.57,0.57,6.96,91.59,0.53,0.48,7.40,100.00,0.00,0.00,0.00,99.48,0.45,0.03,0.03,0.02
129,51.02.05.2011,Buahan,Tabanan,Tabanan,Bali,91.73,3.71,1.29,3.28,89.27,4.88,1.91,3.94,90.75,4.29,1.52,3.43,87.36,6.24,1.91,4.49,100.00,0.00,0.00,0.00,99.58,0.38,0.02,0.01,0.01
130,51.04.07.2005,Buahan,Payangan,Gianyar,Bali,90.94,0.79,0.79,7.48,89.84,0.77,0.67,8.71,90.46,0.72,0.68,8.13,89.51,0.63,0.65,9.21,100.00,0.00,0.00,0.00,99.57,0.41,0.01,0.01,0.00
131,51.06.04.2019,Buahan,Kintamani,Bangli,Bali,77.57,9.72,4.85,7.86,77.30,1.75,12.25,8.71,77.43,8.78,5.51,8.28,77.15,1.68,11.90,9.28,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
132,51.04.07.2008,Buahan Kaja,Payangan,Gianyar,Bali,93.92,0.55,0.52,5.00,93.33,0.71,0.46,5.49,93.69,0.59,0.52,5.19,93.09,0.64,0.63,5.64,100.00,0.00,0.00,0.00,99.67,0.31,0.01,0.01,0.00
133,51.07.06.2007,Bhuana Giri,Bebandem,Karangasem,Bali,96.76,0.54,0.43,2.27,96.41,0.61,0.39,2.58,96.62,0.54,0.43,2.41,96.27,0.57,0.44,2.72,100.00,0.00,0.00,0.00,99.46,0.44,0.05,0.03,0.02
134,51.08.02.2013,Bubunan,Seririt,Buleleng,Bali,85.68,6.12,5.43,2.77,84.35,5.60,6.12,3.93,85.10,5.60,6.12,3.18,83.66,5.60,5.89,4.85,100.00,0.00,0.00,0.00,99.47,0.41,0.04,0.04,0.03
135,51.07.06.2002,Budakeling,Bebandem,Karangasem,Bali,96.60,1.32,0.79,1.29,95.84,1.99,0.82,1.36,96.34,1.54,0.82,1.29,92.63,4.13,1.10,2.14,100.00,0.00,0.00,0.00,99.39,0.52,0.04,0.03,0.02
136,51.01.05.2006,Budeng,Jembrana,Jembrana,Bali,29.55,25.81,28.65,15.99,24.23,18.57,25.47,31.73,26.98,22.65,28.65,21.72,20.48,16.09,17.67,45.76,0.00,12.24,30.61,57.14,99.37,0.53,0.04,0.04,0.03
137,51.03.02.2002,Buduk,Mengwi,Badung,Bali,85.22,4.91,3.81,6.07,83.04,5.59,4.04,7.33,84.40,5.17,3.89,6.54,82.51,5.38,4.28,7.83,100.00,0.00,0.00,0.00,99.43,0.46,0.04,0.04,0.02
138,51.07.04.2001,Bugbug,Karangasem,Karangasem,Bali,84.44,4.35,3.14,8.07,83.24,4.67,3.21,8.88,84.37,4.34,3.08,8.21,82.59,4.74,3.51,9.16,84.87,9.20,4.15,1.78,99.71,0.25,0.01,0.01,0.01
139,51.04.07.2003,Bukian,Payangan,Gianyar,Bali,91.51,1.32,1.06,6.10,90.88,1.47,1.11,6.54,91.24,1.33,1.16,6.26,90.45,1.65,1.15,6.75,100.00,0.00,0.00,0.00,99.65,0.33,0.01,0.01,0.00
140,51.07.04.2011,Bukit,Karangasem,Karangasem,Bali,91.97,0.75,1.03,6.25,91.57,0.94,0.91,6.58,91.80,0.88,0.94,6.38,91.37,0.93,0.86,6.84,100.00,0.00,0.00,0.00,99.52,0.39,0.04,0.03,0.02
141,51.08.08.2012,Bukti,Kubutambahan,Buleleng,Bali,91.65,2.95,2.08,3.32,86.90,3.86,2.90,6.34,89.65,3.46,2.37,4.53,87.76,3.76,2.76,5.73,92.35,7.65,0.00,0.00,99.47,0.46,0.03,0.02,0.01
142,51.08.08.2008,Bulian,Kubutambahan,Buleleng,Bali,93.57,1.46,0.92,4.06,92.82,1.45,1.17,4.56,93.04,1.48,1.07,4.41,92.43,1.55,1.16,4.87,100.00,0.00,0.00,0.00,99.42,0.50,0.04,0.03,0.02
143,51.05.01.2016,Bunga Mekar,Nusa Penida,Klungkung,Bali,93.13,1.48,1.09,4.30,92.75,1.44,1.17,4.63,92.90,1.49,1.11,4.50,92.33,1.47,1.18,5.01,90.79,5.84,2.02,1.35,99.46,0.44,0.04,0.04,0.02
144,51.07.06.2001,Bungaya,Bebandem,Karangasem,Bali,89.34,4.06,2.69,3.92,86.98,5.04,3.62,4.36,89.23,4.14,2.91,3.73,85.55,5.43,4.08,4.93,100.00,0.00,0.00,0.00,99.59,0.37,0.02,0.01,0.00
145,51.07.06.2006,Bungaya Kangin,Bebandem,Karangasem,Bali,95.00,2.37,1.32,1.32,93.03,3.69,1.76,1.52,94.70,2.49,1.46,1.35,91.54,4.13,2.14,2.19,100.00,0.00,0.00,0.00,99.39,0.52,0.04,0.03,0.02
146,51.05.02.2010,Bungbungan,Banjarangkan,Klungkung,Bali,93.63,0.68,0.85,4.85,92.89,1.03,0.73,5.35,93.24,0.94,0.76,5.05,92.39,1.20,0.82,5.58,100.00,0.00,0.00,0.00,99.57,0.37,0.03,0.02,0.01
147,51.08.07.2013,Bungkulan,Sawan,Buleleng,Bali,82.68,11.14,2.86,3.31,77.56,13.72,4.52,4.20,80.47,12.04,3.67,3.82,75.39,14.55,5.23,4.83,96.43,3.57,0.00,0.00,99.40,0.48,0.05,0.04,0.03
148,51.07.05.2003,Bunutan,Abang,Karangasem,Bali,90.26,1.41,1.18,7.16,89.77,1.58,1.18,7.47,90.07,1.46,1.19,7.28,89.36,1.63,1.21,7.80,95.61,4.09,0.31,0.00,99.57,0.38,0.02,0.01,0.01
149,51.06.02.2001,Bunutin,Bangli,Bangli,Bali,73.44,2.86,2.38,21.32,61.49,3.93,3.57,31.00,69.00,3.72,2.89,24.39,53.60,2.89,2.50,41.01,100.00,0.00,0.00,0.00,99.50,0.41,0.04,0.03,0.02
150,51.06.04.2004,Bunutin,Kintamani,Bangli,Bali,84.48,0.57,0.57,14.39,82.80,0.70,0.54,15.96,83.37,0.70,0.65,15.29,81.20,0.36,0.70,17.74,100.00,0.00,0.00,0.00,99.68,0.30,0.01,0.01,0.00
151,51.02.08.2004,Buruan,Penebel,Tabanan,Bali,92.42,3.47,1.12,2.99,91.27,4.05,1.48,3.20,92.00,3.77,1.18,3.05,90.28,4.53,1.90,3.29,100.00,0.00,0.00,0.00,99.49,0.45,0.03,0.02,0.01
152,51.04.02.2006,Buruan,Blahbatuh,Gianyar,Bali,86.68,9.08,2.14,2.10,82.42,11.20,4.09,2.29,84.74,10.04,3.04,2.18,80.65,11.60,5.14,2.61,100.00,0.00,0.00,0.00,99.37,0.53,0.05,0.03,0.02
153,51.08.03.2011,Busungbiu,Busungbiu,Buleleng,Bali,84.69,2.05,1.81,11.46,83.98,1.62,2.00,12.40,84.36,1.72,2.15,11.77,83.57,1.71,1.95,12.78,100.00,0.00,0.00,0.00,99.70,0.25,0.02,0.02,0.01
154,51.02.06.2005,Buwit,Kediri,Tabanan,Bali,87.26,3.43,2.98,6.34,85.18,4.03,3.17,7.62,86.62,3.52,2.88,6.98,84.09,4.10,3.27,8.55,69.44,13.89,8.33,8.33,99.51,0.44,0.02,0.02,0.01
155,51.02.09.2008,Candikuning,Baturiti,Tabanan,Bali,77.75,15.64,2.23,4.39,77.11,14.38,3.57,4.94,77.35,15.21,2.69,4.74,76.61,2.26,15.71,5.42,100.00,0.00,0.00,0.00,99.45,0.46,0.04,0.03,0.03
156,51.01.04.2007,Candikusuma,Melaya,Jembrana,Bali,76.29,7.93,6.48,9.30,73.42,8.11,7.11,11.37,75.06,8.05,6.78,10.11,71.83,7.74,7.48,12.94,70.33,11.00,4.78,13.88,99.58,0.36,0.03,0.02,0.01
157,51.03.06.2005,Canggu,Kuta Utara,Badung,Bali,85.70,6.86,4.37,3.07,83.52,6.94,5.36,4.18,84.77,6.83,4.90,3.49,82.50,6.89,5.61,5.00,22.37,13.82,2.63,61.18,99.43,0.48,0.03,0.03,0.02
158,51.03.04.2001,Carangsari,Petang,Badung,Bali,93.84,1.64,0.55,3.97,92.84,1.96,0.74,4.47,93.45,1.69,0.66,4.21,92.12,2.27,0.67,4.94,100.00,0.00,0.00,0.00,99.44,0.49,0.03,0.03,0.02
159,51.06.04.2037,Catur,Kintamani,Bangli,Bali,92.92,0.91,0.88,5.28,92.32,1.04,1.03,5.62,92.61,1.01,0.88,5.49,91.85,1.09,1.00,6.07,100.00,0.00,0.00,0.00,99.54,0.40,0.02,0.02,0.01
160,51.02.07.2010,Cau Belayu,Marga,Tabanan,Bali,82.06,2.46,2.21,13.28,78.40,2.02,1.70,17.88,79.18,2.29,2.00,16.53,76.49,2.06,1.72,19.73,100.00,0.00,0.00,0.00,99.54,0.39,0.03,0.03,0.01
161,51.04.01.2005,Celuk,Sukawati,Gianyar,Bali,87.55,4.08,2.01,6.35,84.50,5.27,2.48,7.75,86.21,4.96,1.81,7.02,81.35,7.33,2.84,8.47,95.56,4.44,0.00,0.00,99.44,0.47,0.04,0.03,0.02
162,51.08.01.2013,Celukanbawang,Gerokgak,Buleleng,Bali,87.23,8.38,3.33,1.06,77.83,13.17,6.41,2.59,85.34,9.16,3.95,1.55,78.71,12.86,5.99,2.44,87.62,12.38,0.00,0.00,99.41,0.49,0.04,0.04,0.02
163,51.03.02.2017,Cemagi,Mengwi,Badung,Bali,91.29,6.57,1.02,1.12,90.83,6.90,1.10,1.17,90.96,7.03,0.86,1.15,90.36,7.33,1.12,1.19,0.00,16.80,4.80,78.40,99.45,0.48,0.03,0.03,0.01
164,51.06.02.1005,Cempaga,Bangli,Bangli,Bali,90.86,2.01,1.36,5.77,89.50,2.70,1.26,6.53,90.15,2.36,1.36,6.13,88.50,2.99,1.51,6.99,100.00,0.00,0.00,0.00,99.64,0.32,0.02,0.02,0.01
165,51.08.04.2009,Cempaga,Banjar,Buleleng,Bali,93.75,0.88,0.69,4.69,93.40,0.84,0.77,5.00,93.50,0.88,0.69,4.93,93.14,0.93,0.76,5.16,100.00,0.00,0.00,0.00,99.66,0.28,0.02,0.02,0.01
166,51.02.06.2006,Cepaka,Kediri,Tabanan,Bali,79.94,4.87,5.37,9.82,77.78,5.16,4.74,12.32,78.69,5.29,5.24,10.78,76.74,5.41,4.66,13.19,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
167,51.07.05.2008,Culik,Abang,Karangasem,Bali,72.29,5.67,3.85,18.19,70.19,5.61,4.72,19.48,71.17,5.78,3.87,19.17,68.05,5.28,5.22,21.45,100.00,0.00,0.00,0.00,99.53,0.43,0.02,0.01,0.00
168,51.01.01.2001,Cupel,Negara,Jembrana,Bali,95.77,2.26,0.97,1.00,95.30,2.44,1.18,1.08,95.52,2.47,0.97,1.04,95.34,2.37,1.22,1.08,23.44,39.06,10.94,26.56,99.56,0.36,0.03,0.03,0.02
169,51.02.05.2006,Dajan Peken,Tabanan,Tabanan,Bali,87.83,2.91,1.68,7.58,86.67,2.87,2.04,8.42,87.23,2.83,1.80,8.14,86.03,3.19,1.88,8.90,100.00,0.00,0.00,0.00,99.51,0.40,0.03,0.03,0.02
170,51.02.02.2009,Dalang,Selemadeg Timur,Tabanan,Bali,92.41,1.47,1.15,4.97,92.03,1.43,1.32,5.22,92.28,1.43,1.23,5.06,91.76,1.41,1.45,5.39,100.00,0.00,0.00,0.00,99.73,0.24,0.01,0.01,0.01
171,51.03.06.2006,Dalung,Kuta Utara,Badung,Bali,85.96,5.81,4.11,4.11,83.84,6.24,4.49,5.44,85.46,5.76,4.34,4.45,82.88,6.52,4.66,5.94,100.00,0.00,0.00,0.00,99.55,0.37,0.03,0.03,0.01
172,51.71.02.1010,Dangin Puri,Denpasar Timur,Kota Denpasar,Bali,85.64,11.73,2.45,0.18,83.54,13.31,2.98,0.18,84.94,12.43,2.45,0.18,81.61,14.54,3.68,0.18,0.00,9.09,0.00,90.91,99.43,0.48,0.03,0.03,0.03
173,51.71.04.2003,Dangin Puri Kaja,Denpasar Utara,Kota Denpasar,Bali,90.51,7.24,2.10,0.16,88.40,9.03,2.18,0.39,89.96,7.78,2.10,0.16,87.32,10.04,2.10,0.54,83.33,16.67,0.00,0.00,99.36,0.53,0.04,0.04,0.03
174,51.71.04.2001,Dangin Puri Kangin,Denpasar Utara,Kota Denpasar,Bali,86.80,11.03,1.92,0.25,86.72,11.03,1.92,0.33,86.30,11.36,2.01,0.33,85.55,11.86,2.26,0.33,42.31,30.77,15.38,11.54,99.36,0.53,0.05,0.04,0.02
175,51.71.04.2002,Dangin Puri Kauh,Denpasar Utara,Kota Denpasar,Bali,88.63,8.80,2.36,0.21,83.05,12.45,4.29,0.21,87.77,9.44,2.58,0.21,79.83,15.45,4.29,0.43,0.00,45.45,36.36,18.18,99.41,0.49,0.04,0.03,0.02
176,51.71.02.2001,Dangin Puri Kelod,Denpasar Timur,Kota Denpasar,Bali,75.11,19.28,4.89,0.72,72.05,21.11,5.86,0.98,74.59,19.87,4.69,0.85,70.62,21.89,6.45,1.04,0.00,0.00,0.00,100.00,99.36,0.49,0.06,0.06,0.03
177,51.01.05.2010,Dangin Tukadaya,Jembrana,Jembrana,Bali,75.99,13.18,4.87,5.95,72.49,12.80,7.40,7.32,74.02,13.10,6.24,6.64,69.40,12.22,8.99,9.39,100.00,0.00,0.00,0.00,99.57,0.34,0.03,0.03,0.02
178,51.03.03.2001,Darmasaba,Abiansemal,Badung,Bali,79.17,6.79,4.35,9.68,71.10,7.05,5.57,16.28,74.46,7.09,4.93,13.51,68.56,7.09,5.51,18.83,100.00,0.00,0.00,0.00,99.37,0.52,0.05,0.04,0.02
179,51.07.05.2007,Datah,Abang,Karangasem,Bali,95.33,0.99,0.75,2.93,94.93,1.07,0.88,3.12,95.10,1.08,0.78,3.05,94.62,1.16,0.92,3.30,99.32,0.54,0.14,0.00,99.47,0.46,0.03,0.02,0.01
180,51.02.05.2005,Dauh Peken,Tabanan,Tabanan,Bali,87.37,3.73,2.71,6.20,86.05,3.94,3.30,6.71,86.72,3.97,3.00,6.30,85.17,4.29,3.25,7.30,100.00,0.00,0.00,0.00,99.49,0.46,0.03,0.02,0.01
181,51.71.03.1005,Dauh Puri,Denpasar Barat,Kota Denpasar,Bali,76.44,18.13,4.04,1.39,71.25,22.52,3.93,2.31,74.13,20.32,3.70,1.85,69.63,23.67,4.27,2.42,0.00,0.00,0.00,100.00,99.29,0.58,0.05,0.05,0.04
182,51.71.04.2006,Dauh Puri Kaja,Denpasar Utara,Kota Denpasar,Bali,75.67,9.24,6.24,8.85,72.06,9.62,7.70,10.62,74.67,9.78,6.47,9.08,69.75,11.32,8.16,10.78,37.93,34.48,3.45,24.14,99.43,0.51,0.03,0.02,0.01
183,51.71.03.2006,Dauh Puri Kangin,Denpasar Barat,Kota Denpasar,Bali,70.36,19.04,6.75,3.86,66.99,19.28,7.95,5.78,69.16,19.04,7.47,4.34,66.27,18.80,8.92,6.02,0.00,0.00,0.00,100.00,99.40,0.51,0.04,0.03,0.02
184,51.71.03.2003,Dauh Puri Kauh,Denpasar Barat,Kota Denpasar,Bali,86.00,7.84,1.39,4.76,82.86,10.05,2.27,4.82,85.24,8.37,1.63,4.76,81.58,10.75,2.73,4.94,0.00,0.00,0.00,100.00,99.29,0.59,0.05,0.05,0.03
185,51.71.03.2004,Dauh Puri Kelod,Denpasar Barat,Kota Denpasar,Bali,83.59,12.68,3.68,0.06,80.76,14.94,4.24,0.06,82.63,13.47,3.85,0.06,79.85,15.56,4.53,0.06,0.00,0.00,0.00,100.00,99.42,0.50,0.04,0.03,0.01
186,51.01.05.1005,Dauhwaru,Jembrana,Jembrana,Bali,87.22,5.70,1.42,5.67,85.27,6.72,1.82,6.18,86.18,6.34,1.50,5.98,83.73,7.34,2.15,6.78,90.82,6.12,3.06,0.00,99.58,0.32,0.04,0.04,0.02
187,51.06.04.2031,Daup,Kintamani,Bangli,Bali,97.14,0.28,0.39,2.19,96.96,0.39,0.21,2.44,97.10,0.25,0.39,2.26,96.78,0.50,0.21,2.51,100.00,0.00,0.00,0.00,99.57,0.36,0.03,0.02,0.01
188,51.06.04.2041,Dausa,Kintamani,Bangli,Bali,94.50,0.61,0.56,4.33,94.12,0.62,0.40,4.86,94.31,0.58,0.48,4.64,93.19,0.62,0.61,5.58,100.00,0.00,0.00,0.00,99.54,0.40,0.03,0.02,0.01
189,51.05.04.2011,Dawan Kaler,Dawan,Klungkung,Bali,85.68,3.69,2.67,7.95,84.24,3.62,3.31,8.83,85.12,3.80,2.64,8.44,83.60,3.48,3.69,9.22,100.00,0.00,0.00,0.00,99.66,0.29,0.02,0.02,0.01
190,51.05.04.2009,Dawan Kelod,Dawan,Klungkung,Bali,74.43,17.24,4.43,3.91,70.09,18.69,6.40,4.82,72.61,18.12,4.89,4.37,67.12,18.95,8.02,5.91,44.94,7.87,5.62,41.57,99.38,0.51,0.04,0.04,0.02
191,51.02.05.2004,Delod Peken,Tabanan,Tabanan,Bali,88.90,2.06,1.57,7.47,87.85,2.62,1.33,8.19,88.42,2.22,1.49,7.87,87.17,2.58,1.69,8.56,100.00,0.00,0.00,0.00,99.59,0.37,0.02,0.02,0.01
192,51.01.02.2005,Delodberawah,Mendoyo,Jembrana,Bali,67.13,21.51,6.58,4.77,61.92,24.16,7.70,6.22,64.52,23.07,6.84,5.57,58.97,23.02,10.71,7.31,0.00,19.78,24.18,56.04,99.22,0.67,0.06,0.04,0.02
193,51.06.01.2002,Demulih,Susut,Bangli,Bali,87.08,1.50,1.42,10.01,85.60,1.70,1.46,11.25,86.48,1.66,1.40,10.47,84.78,1.54,1.62,12.07,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
194,51.02.05.2007,Denbantas,Tabanan,Tabanan,Bali,90.30,2.28,1.95,5.46,89.47,2.54,1.84,6.14,89.93,2.41,1.95,5.70,88.73,2.74,1.84,6.69,100.00,0.00,0.00,0.00,99.48,0.45,0.03,0.03,0.01
195,51.08.04.2014,Dencarik,Banjar,Buleleng,Bali,77.43,12.75,5.35,4.47,72.72,14.93,7.02,5.33,75.29,13.91,5.84,4.95,71.10,15.44,7.64,5.82,97.12,2.88,0.00,0.00,99.70,0.25,0.02,0.02,0.01
196,51.08.08.2006,Depeha,Kubutambahan,Buleleng,Bali,96.65,0.87,0.59,1.89,95.66,0.87,0.90,2.56,96.35,0.92,0.75,1.98,95.41,1.08,0.87,2.63,100.00,0.00,0.00,0.00,99.55,0.38,0.03,0.03,0.01
197,51.07.07.2003,Duda,Selat,Karangasem,Bali,91.55,2.07,1.66,4.72,90.39,2.57,1.68,5.37,91.03,2.31,1.72,4.94,90.13,2.49,1.73,5.65,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.01,0.01
198,51.07.07.2006,Duda Timur,Selat,Karangasem,Bali,91.05,1.23,1.16,6.56,90.37,1.47,1.21,6.95,90.86,1.28,1.10,6.76,90.17,1.47,1.23,7.14,100.00,0.00,0.00,0.00,99.74,0.22,0.02,0.01,0.01
199,51.07.07.2005,Duda Utara,Selat,Karangasem,Bali,91.19,2.97,1.79,4.06,89.96,3.26,2.18,4.59,90.76,3.01,1.96,4.27,89.29,3.48,2.38,4.84,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
200,51.07.08.2002,Dukuh,Kubu,Karangasem,Bali,97.78,0.52,0.42,1.28,97.40,0.60,0.49,1.51,97.62,0.59,0.42,1.36,97.08,0.62,0.54,1.75,100.00,0.00,0.00,0.00,99.58,0.38,0.02,0.01,0.00
