,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
23,51.07.03.2010,Antiga Kelod,Manggis,Karangasem,Bali,83.42,5.81,4.54,6.23,79.74,6.18,5.15,8.93,81.21,6.15,4.78,7.86,76.06,6.81,5.46,11.66,61.65,20.30,4.51,13.53,99.45,0.46,0.03,0.03,0.02
24,51.02.03.2004,Antosari,Selemadeg Barat,Tabanan,Bali,88.69,2.04,1.60,7.66,88.07,2.00,1.67,8.26,88.41,1.95,1.74,7.90,87.42,2.07,1.60,8.91,97.58,1.21,0.61,0.61,99.51,0.43,0.03,0.02,0.01
25,51.08.06.2002,Anturan,Buleleng,Buleleng,Bali,76.22,8.11,6.21,9.45,72.26,10.42,6.27,11.05,74.01,9.30,6.33,10.36,69.89,11.29,6.15,12.67,100.00,0.00,0.00,0.00,99.42,0.49,0.04,0.03,0.02
26,51.02.09.2003,Apuan,Baturiti,Tabanan,Bali,91.16,1.53,1.34,5.97,90.14,1.58,1.55,6.73,90.43,1.65,1.39,6.53,89.71,1.39,1.36,7.53,100.00,0.00,0.00,0.00,99.50,0.39,0.04,0.04,0.03
27,51.06.01.2001,Apuan,Susut,Bangli,Bali,90.21,1.94,1.74,6.11,88.56,2.57,1.64,7.23,89.66,2.25,1.70,6.38,87.58,2.72,1.89,7.81,100.00,0.00,0.00,0.00,99.46,0.46,0.03,0.02,0.02
28,51.01.03.2003,Asahduren,Pekutatan,Jembrana,Bali,90.43,0.69,0.84,8.03,90.09,0.70,0.88,8.33,90.37,0.66,0.88,8.10,89.91,0.79,0.84,8.46,100.00,0.00,0.00,0.00,99.76,0.21,0.01,0.01,0.01
29,51.08.06.1022,Astina,Buleleng,Buleleng,Bali,82.21,5.14,3.16,9.49,79.05,5.53,4.74,10.67,80.63,5.93,2.77,10.67,74.70,8.30,4.35,12.65,100.00,0.00,0.00,0.00,99.47,0.43,0.04,0.04,0.03
30,51.06.04.2032,Awan,Kintamani,Bangli,Bali,88.34,1.14,1.48,9.04,87.68,1.13,1.29,9.89,88.05,1.16,1.28,9.52,87.23,1.16,1.29,10.32,100.00,0.00,0.00,0.00,99.66,0.30,0.02,0.02,0.01
31,51.03.03.2012,Ayunan,Abiansemal,Badung,Bali,88.09,2.42,1.59,7.90,87.37,2.47,1.76,8.40,87.83,2.34,1.71,8.11,86.71,2.34,1.92,9.03,100.00,0.00,0.00,0.00,99.51,0.42,0.03,0.02,0.01
32,51.02.08.2011,Babahan,Penebel,Tabanan,Bali,91.64,1.88,1.81,4.67,90.99,1.72,1.97,5.32,91.50,1.75,1.79,4.96,90.64,1.58,2.01,5.78,100.00,0.00,0.00,0.00,99.66,0.31,0.02,0.01,0.01
33,51.03.02.2008,Baha,Mengwi,Badung,Bali,87.34,4.13,3.18,5.35,86.18,4.16,3.23,6.43,87.02,3.97,3.34,5.68,85.78,3.97,3.37,6.89,100.00,0.00,0.00,0.00,99.43,0.47,0.04,0.03,0.03
34,51.02.01.2001,Bajera,Selemadeg,Tabanan,Bali,90.98,1.60,1.65,5.77,90.21,1.33,2.01,6.45,90.66,1.60,1.65,6.09,89.43,1.83,1.69,7.05,100.00,0.00,0.00,0.00,99.42,0.49,0.04,0.03,0.02
35,51.02.01.2010,Bajera Utara,Selemadeg,Tabanan,Bali,88.88,2.35,1.96,6.81,88.04,2.39,2.01,7.56,88.54,2.37,1.99,7.11,87.61,2.44,2.03,7.92,100.00,0.00,0.00,0.00,99.59,0.33,0.02,0.03,0.02
36,51.05.02.2005,Bakas,Banjarangkan,Klungkung,Bali,93.90,0.59,0.51,5.00,93.55,0.47,0.70,5.28,93.75,0.55,0.59,5.12,93.20,0.59,0.63,5.59,100.00,0.00,0.00,0.00,99.44,0.49,0.03,0.03,0.01
37,51.04.03.2009,Bakbakan,Gianyar,Gianyar,Bali,94.03,2.45,1.11,2.41,93.45,2.60,1.30,2.66,93.94,2.33,1.17,2.55,92.83,2.78,1.42,2.97,100.00,0.00,0.00,0.00,99.55,0.37,0.03,0.03,0.02
38,51.08.06.2005,Baktiseraga,Buleleng,Buleleng,Bali,85.22,11.16,2.79,0.83,82.85,12.17,3.69,1.28,83.98,11.84,3.09,1.09,81.76,12.17,4.56,1.51,98.41,1.59,0.00,0.00,99.39,0.51,0.05,0.03,0.02
39,51.01.01.1006,Baler Bale Agung,Negara,Jembrana,Bali,85.31,3.95,3.27,7.47,83.51,4.22,3.44,8.83,84.58,4.02,3.32,8.08,82.33,4.23,3.66,9.79,100.00,0.00,0.00,0.00,99.80,0.18,0.01,0.01,0.00
40,51.01.01.2002,Baluk,Negara,Jembrana,Bali,77.49,11.17,8.72,2.63,76.23,8.62,11.40,3.75,77.02,10.01,10.01,2.95,75.57,7.48,11.93,5.01,87.28,10.09,1.32,1.32,99.57,0.36,0.03,0.03,0.02
41,51.07.08.2001,Ban,Kubu,Karangasem,Bali,94.07,0.89,0.78,4.26,93.35,0.94,0.86,4.85,93.79,0.88,0.80,4.53,92.50,1.07,0.95,5.48,100.00,0.00,0.00,0.00,99.61,0.34,0.02,0.02,0.01
42,51.06.03.2005,Bangbang,Tembuku,Bangli,Bali,88.70,0.84,0.64,9.83,86.58,0.74,0.79,11.89,87.79,0.98,0.57,10.66,85.23,0.94,0.84,13.00,100.00,0.00,0.00,0.00,99.52,0.36,0.04,0.04,0.04
43,51.02.09.2005,Bangli,Baturiti,Tabanan,Bali,94.44,1.03,0.97,3.56,94.02,1.02,1.07,3.89,94.16,1.02,1.08,3.73,93.45,1.17,1.10,4.28,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.02,0.01
