Village Code,Village,District,Regency/City,Province,Household,Total Population,D1_Disabled Male Ratio,D2_Disabled Female Ratio,D3_Non Disabled Male Ratio,D4_Non Disable Female Ratio,A1_Children Ratio,A2_Adolescent Ratio,A3_Young Adults Ratio,A4_Middle Age Ratio,A5_Elderly Ratio,A6_Senior Ratio,D1A1,D1A2,D1A3,D1A4,D1A5,D1A6,D2A1,D2A2,D2A3,D2A4,D2A5,D2A6,D3A1,D3A2,D3A3,D3A4,D3A5,D3A6,D4A1,D4A2,D4A3,D4A4,D4A5,D4A6
51.01.05.2010,Dangin Tukadaya,Jembrana,Jembrana,Bali,1796,5674,0.0016,0.0023,0.491,0.5051,0.1265,0.1482,0.2726,0.2876,0.1031,0.0619,0.0002,0.0002,0.0004,0.0005,0.0002,0.0001,0.0003,0.0003,0.0006,0.0007,0.0002,0.0001,0.0621,0.0728,0.1339,0.1412,0.0506,0.0304,0.0639,0.0749,0.1377,0.1453,0.0521,0.0312
51.03.03.2001,Darmasaba,Abiansemal,Badung,Bali,2329,10321,0.0031,0.0035,0.4917,0.5017,0.1185,0.1558,0.285,0.295,0.0799,0.0658,0.0004,0.0005,0.0009,0.0009,0.0002,0.0002,0.0004,0.0005,0.001,0.001,0.0003,0.0002,0.0583,0.0766,0.1401,0.1451,0.0393,0.0323,0.0594,0.0782,0.143,0.148,0.0401,0.033
51.07.05.2007,Datah,Abang,Karangasem,Bali,4082,13581,0,0,0.5106,0.4894,0.1556,0.1649,0.307,0.2458,0.0635,0.0633,0,0,0,0,0,0,0,0,0,0,0,0,0.0794,0.0842,0.1568,0.1255,0.0324,0.0323,0.0761,0.0807,0.1502,0.1203,0.0311,0.031
51.02.05.2005,Dauh Peken,Tabanan,Tabanan,Bali,4224,13657,0.0013,0.0015,0.5026,0.4946,0.1296,0.1475,0.2976,0.2868,0.0874,0.0511,0.0002,0.0002,0.0004,0.0004,0.0001,0.0001,0.0002,0.0002,0.0004,0.0004,0.0001,0.0001,0.0651,0.0742,0.1496,0.1442,0.0439,0.0257,0.0641,0.073,0.1472,0.1419,0.0432,0.0253
51.71.03.1005,Dauh Puri,Denpasar Barat,Kota Denpasar,Bali,2486,9034,0.0012,0.001,0.4981,0.4997,0.1279,0.1604,0.3127,0.2969,0.0689,0.0333,0.0002,0.0002,0.0004,0.0004,0.0001,0,0.0001,0.0002,0.0003,0.0003,0.0001,0,0.0637,0.0799,0.1558,0.1479,0.0343,0.0166,0.0639,0.0801,0.1562,0.1483,0.0344,0.0166
51.71.04.2006,Dauh Puri Kaja,Denpasar Utara,Kota Denpasar,Bali,5603,19122,0.0028,0.0016,0.4972,0.4984,0.1476,0.1577,0.3095,0.2743,0.0719,0.039,0.0004,0.0004,0.0009,0.0008,0.0002,0.0001,0.0002,0.0003,0.0005,0.0004,0.0001,0.0001,0.0734,0.0784,0.1539,0.1364,0.0358,0.0194,0.0736,0.0786,0.1543,0.1367,0.0358,0.0194
51.71.03.2006,Dauh Puri Kangin,Denpasar Barat,Kota Denpasar,Bali,1255,4301,0,0,0.4883,0.5117,0.1121,0.1455,0.2744,0.3016,0.1,0.0665,0,0,0,0,0,0,0,0,0,0,0,0,0.0547,0.0711,0.134,0.1472,0.0488,0.0325,0.0573,0.0745,0.1404,0.1543,0.0512,0.034
51.71.03.2003,Dauh Puri Kauh,Denpasar Barat,Kota Denpasar,Bali,3813,13551,0.0015,0.0009,0.4986,0.4989,0.1132,0.1573,0.2857,0.3209,0.0774,0.0456,0.0002,0.0002,0.0004,0.0005,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0001,0,0.0564,0.0784,0.1424,0.16,0.0386,0.0227,0.0565,0.0785,0.1425,0.1601,0.0386,0.0228
51.71.03.2004,Dauh Puri Kelod,Denpasar Barat,Kota Denpasar,Bali,3514,12070,0.0013,0.0008,0.4927,0.5051,0.1162,0.157,0.2975,0.303,0.0719,0.0544,0.0002,0.0002,0.0004,0.0004,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0001,0,0.0572,0.0774,0.1466,0.1493,0.0354,0.0268,0.0587,0.0793,0.1503,0.153,0.0363,0.0275
51.01.05.1005,Dauhwaru,Jembrana,Jembrana,Bali,3170,10536,0.0015,0.0014,0.4931,0.504,0.1302,0.1615,0.2773,0.2775,0.1062,0.0472,0.0002,0.0002,0.0004,0.0004,0.0002,0.0001,0.0002,0.0002,0.0004,0.0004,0.0002,0.0001,0.0642,0.0797,0.1367,0.1368,0.0524,0.0233,0.0656,0.0814,0.1398,0.1399,0.0535,0.0238
51.06.04.2031,Daup,Kintamani,Bangli,Bali,209,765,0.0052,0.0052,0.485,0.5046,0.1438,0.1542,0.3085,0.2745,0.0719,0.0471,0.0008,0.0008,0.0016,0.0014,0.0004,0.0002,0.0008,0.0008,0.0016,0.0014,0.0004,0.0002,0.0697,0.0748,0.1496,0.1331,0.0349,0.0228,0.0726,0.0778,0.1557,0.1385,0.0363,0.0237
51.06.04.2041,Dausa,Kintamani,Bangli,Bali,933,3240,0,0,0.5219,0.4781,0.1543,0.183,0.2994,0.246,0.0694,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0.0805,0.0955,0.1563,0.1284,0.0362,0.025,0.0738,0.0875,0.1431,0.1176,0.0332,0.0229
51.05.04.2011,Dawan Kaler,Dawan,Klungkung,Bali,741,2743,0.0084,0.0055,0.4943,0.4918,0.1137,0.1433,0.2705,0.284,0.0984,0.09,0.001,0.0012,0.0023,0.0024,0.0008,0.0008,0.0006,0.0008,0.0015,0.0016,0.0005,0.0005,0.0562,0.0708,0.1337,0.1404,0.0487,0.0445,0.0559,0.0705,0.133,0.1397,0.0484,0.0443
51.05.04.2009,Dawan Kelod,Dawan,Klungkung,Bali,749,2874,0.0111,0.0017,0.4906,0.4965,0.1249,0.1416,0.278,0.2808,0.0978,0.0769,0.0014,0.0016,0.0031,0.0031,0.0011,0.0009,0.0002,0.0002,0.0005,0.0005,0.0002,0.0001,0.0613,0.0695,0.1364,0.1378,0.048,0.0377,0.062,0.0703,0.138,0.1394,0.0485,0.0382
51.02.05.2004,Delod Peken,Tabanan,Tabanan,Bali,3531,11081,0.0024,0.0021,0.494,0.5015,0.1207,0.1505,0.274,0.2869,0.0978,0.0701,0.0003,0.0004,0.0007,0.0007,0.0002,0.0002,0.0003,0.0003,0.0006,0.0006,0.0002,0.0001,0.0596,0.0744,0.1353,0.1417,0.0483,0.0346,0.0605,0.0755,0.1374,0.1439,0.0491,0.0352
51.01.02.2005,Delodberawah,Mendoyo,Jembrana,Bali,765,2335,0,0,0.5058,0.4942,0.1268,0.1336,0.2724,0.2882,0.1015,0.0775,0,0,0,0,0,0,0,0,0,0,0,0,0.0641,0.0676,0.1378,0.1458,0.0513,0.0392,0.0627,0.066,0.1346,0.1424,0.0502,0.0383
51.06.01.2002,Demulih,Susut,Bangli,Bali,1461,4475,0,0,0.4977,0.5023,0.1128,0.1334,0.2603,0.2827,0.1182,0.0925,0,0,0,0,0,0,0,0,0,0,0,0,0.0562,0.0664,0.1296,0.1407,0.0588,0.046,0.0567,0.067,0.1308,0.142,0.0594,0.0465
51.02.05.2007,Denbantas,Tabanan,Tabanan,Bali,2218,7062,0.001,0.0003,0.496,0.5027,0.1153,0.1492,0.2746,0.2952,0.0922,0.0735,0.0001,0.0001,0.0003,0.0003,0.0001,0.0001,0,0,0.0001,0.0001,0,0,0.0572,0.074,0.1362,0.1465,0.0457,0.0365,0.0579,0.075,0.138,0.1484,0.0463,0.0369
51.08.04.2014,Dencarik,Banjar,Buleleng,Bali,1651,5019,0.004,0.005,0.4844,0.5067,0.1317,0.1534,0.2883,0.2907,0.0771,0.0588,0.0005,0.0006,0.0011,0.0012,0.0003,0.0002,0.0007,0.0008,0.0014,0.0014,0.0004,0.0003,0.0638,0.0743,0.1396,0.1408,0.0373,0.0285,0.0667,0.0777,0.1461,0.1473,0.0391,0.0298
51.08.08.2006,Depeha,Kubutambahan,Buleleng,Bali,1965,6500,0.0069,0.0032,0.5031,0.4868,0.1634,0.1869,0.3088,0.2357,0.0605,0.0448,0.0011,0.0013,0.0021,0.0016,0.0004,0.0003,0.0005,0.0006,0.001,0.0008,0.0002,0.0001,0.0822,0.094,0.1553,0.1186,0.0304,0.0225,0.0795,0.091,0.1503,0.1147,0.0294,0.0218
51.07.07.2003,Duda,Selat,Karangasem,Bali,1821,5800,0.004,0.0045,0.4948,0.4967,0.1366,0.1609,0.2726,0.2605,0.0836,0.0859,0.0005,0.0006,0.0011,0.001,0.0003,0.0003,0.0006,0.0007,0.0012,0.0012,0.0004,0.0004,0.0676,0.0796,0.1349,0.1289,0.0414,0.0425,0.0678,0.0799,0.1354,0.1294,0.0415,0.0426
51.07.07.2006,Duda Timur,Selat,Karangasem,Bali,2205,7213,0.0043,0.0029,0.5003,0.4924,0.1379,0.1669,0.2756,0.2561,0.0799,0.0836,0.0006,0.0007,0.0012,0.0011,0.0003,0.0004,0.0004,0.0005,0.0008,0.0007,0.0002,0.0002,0.069,0.0835,0.1379,0.1281,0.04,0.0418,0.0679,0.0822,0.1357,0.1261,0.0393,0.0412
51.07.07.2005,Duda Utara,Selat,Karangasem,Bali,2215,6871,0.0028,0.0022,0.5075,0.4876,0.1339,0.1493,0.2832,0.2751,0.0835,0.075,0.0004,0.0004,0.0008,0.0008,0.0002,0.0002,0.0003,0.0003,0.0006,0.0006,0.0002,0.0002,0.068,0.0758,0.1437,0.1396,0.0424,0.038,0.0653,0.0728,0.1381,0.1341,0.0407,0.0365
51.07.08.2002,Dukuh,Kubu,Karangasem,Bali,1493,5217,0.0017,0,0.5049,0.4934,0.1735,0.1834,0.3165,0.2153,0.0544,0.0569,0.0003,0.0003,0.0005,0.0004,0.0001,0.0001,0,0,0,0,0,0,0.0876,0.0926,0.1598,0.1087,0.0275,0.0287,0.0856,0.0905,0.1561,0.1062,0.0269,0.0281
51.01.04.2004,Ekasari,Melaya,Jembrana,Bali,1319,5190,0.0062,0.0052,0.4973,0.4913,0.1173,0.152,0.2709,0.2896,0.0923,0.0778,0.0007,0.0009,0.0017,0.0018,0.0006,0.0005,0.0006,0.0008,0.0014,0.0015,0.0005,0.0004,0.0584,0.0756,0.1347,0.144,0.0459,0.0387,0.0577,0.0747,0.1331,0.1423,0.0453,0.0382
51.02.02.2002,Gadungan,Selemadeg Timur,Tabanan,Bali,1094,3208,0.0097,0.0044,0.4757,0.5103,0.1097,0.1107,0.2394,0.2905,0.1213,0.1284,0.0011,0.0011,0.0023,0.0028,0.0012,0.0012,0.0005,0.0005,0.001,0.0013,0.0005,0.0006,0.0522,0.0526,0.1139,0.1382,0.0577,0.0611,0.056,0.0565,0.1222,0.1483,0.0619,0.0655
51.02.02.2010,Gadungsari,Selemadeg Timur,Tabanan,Bali,400,1128,0.008,0.0027,0.4743,0.5151,0.0931,0.109,0.2385,0.3138,0.1277,0.1179,0.0007,0.0009,0.0019,0.0025,0.001,0.0009,0.0002,0.0003,0.0006,0.0008,0.0003,0.0003,0.0441,0.0517,0.1131,0.1488,0.0605,0.0559,0.0479,0.0562,0.1228,0.1616,0.0658,0.0607
51.08.07.2002,Galungan,Sawan,Buleleng,Bali,692,2226,0.009,0.0067,0.4964,0.4879,0.1294,0.1716,0.3167,0.2588,0.0642,0.0593,0.0012,0.0015,0.0028,0.0023,0.0006,0.0005,0.0009,0.0012,0.0021,0.0017,0.0004,0.0004,0.0642,0.0852,0.1572,0.1285,0.0319,0.0294,0.0631,0.0837,0.1545,0.1262,0.0313,0.0289
51.07.03.2001,Gegelang,Manggis,Karangasem,Bali,2701,9563,0.0045,0.0026,0.5058,0.4871,0.1438,0.1814,0.3033,0.2402,0.0618,0.0695,0.0006,0.0008,0.0014,0.0011,0.0003,0.0003,0.0004,0.0005,0.0008,0.0006,0.0002,0.0002,0.0727,0.0918,0.1534,0.1215,0.0313,0.0352,0.07,0.0884,0.1477,0.117,0.0301,0.0339
51.05.03.2003,Gelgel,Klungkung,Klungkung,Bali,1313,5181,0.0019,0.0033,0.4876,0.5072,0.1322,0.1436,0.272,0.2818,0.0981,0.0724,0.0003,0.0003,0.0005,0.0005,0.0002,0.0001,0.0004,0.0005,0.0009,0.0009,0.0003,0.0002,0.0645,0.07,0.1326,0.1374,0.0478,0.0353,0.0671,0.0728,0.1379,0.1429,0.0497,0.0367
51.02.07.2015,Geluntung,Marga,Tabanan,Bali,482,1454,0.0069,0.0062,0.4911,0.4959,0.1059,0.1472,0.2297,0.2868,0.1231,0.1073,0.0007,0.001,0.0016,0.002,0.0008,0.0007,0.0007,0.0009,0.0014,0.0018,0.0008,0.0007,0.052,0.0723,0.1128,0.1408,0.0605,0.0527,0.0525,0.073,0.1139,0.1422,0.061,0.0532
51.08.01.2009,Gerokgak,Gerokgak,Buleleng,Bali,2427,7826,0.0041,0.0033,0.5013,0.4913,0.1486,0.1652,0.2924,0.2741,0.0785,0.0413,0.0006,0.0007,0.0012,0.0011,0.0003,0.0002,0.0005,0.0005,0.001,0.0009,0.0003,0.0001,0.0745,0.0828,0.1466,0.1374,0.0393,0.0207,0.073,0.0812,0.1436,0.1347,0.0385,0.0203
51.08.04.2005,Gesing,Banjar,Buleleng,Bali,1398,4001,0.0057,0.0032,0.5089,0.4821,0.1157,0.152,0.2919,0.2722,0.096,0.0722,0.0007,0.0009,0.0017,0.0016,0.0006,0.0004,0.0004,0.0005,0.0009,0.0009,0.0003,0.0002,0.0589,0.0773,0.1486,0.1385,0.0488,0.0368,0.0558,0.0733,0.1407,0.1312,0.0463,0.0348
51.05.02.2006,Getakan,Banjarangkan,Klungkung,Bali,877,3612,0.0083,0.0025,0.5014,0.4878,0.1102,0.1476,0.265,0.3004,0.0927,0.0842,0.0009,0.0012,0.0022,0.0025,0.0008,0.0007,0.0003,0.0004,0.0007,0.0007,0.0002,0.0002,0.0552,0.074,0.1328,0.1506,0.0465,0.0422,0.0538,0.072,0.1292,0.1465,0.0452,0.0411
51.03.04.2005,Getasan,Petang,Badung,Bali,748,2217,0.0198,0.0189,0.4795,0.4817,0.1123,0.1281,0.2661,0.2995,0.1065,0.0875,0.0022,0.0025,0.0053,0.0059,0.0021,0.0017,0.0021,0.0024,0.005,0.0057,0.002,0.0017,0.0539,0.0614,0.1276,0.1436,0.051,0.042,0.0541,0.0617,0.1282,0.1443,0.0513,0.0422
51.04.03.1006,Gianyar,Gianyar,Gianyar,Bali,3985,14951,0.0011,0.0009,0.5027,0.4953,0.1354,0.157,0.3077,0.2675,0.0815,0.0508,0.0001,0.0002,0.0003,0.0003,0.0001,0.0001,0.0001,0.0001,0.0003,0.0003,0.0001,0,0.0681,0.0789,0.1547,0.1345,0.041,0.0256,0.0671,0.0777,0.1524,0.1325,0.0403,0.0252
51.08.07.2014,Giri Emas,Sawan,Buleleng,Bali,931,2981,0.0081,0.0037,0.4884,0.4998,0.1469,0.1681,0.2922,0.2566,0.0859,0.0503,0.0012,0.0014,0.0024,0.0021,0.0007,0.0004,0.0005,0.0006,0.0011,0.0009,0.0003,0.0002,0.0718,0.0821,0.1427,0.1253,0.0419,0.0246,0.0734,0.084,0.146,0.1283,0.0429,0.0252
51.08.05.2004,Gitgit,Sukasada,Buleleng,Bali,1200,3754,0.0072,0.0043,0.4875,0.5011,0.1345,0.1673,0.2845,0.2741,0.0812,0.0583,0.001,0.0012,0.002,0.002,0.0006,0.0004,0.0006,0.0007,0.0012,0.0012,0.0003,0.0002,0.0656,0.0815,0.1387,0.1336,0.0396,0.0284,0.0674,0.0838,0.1426,0.1373,0.0407,0.0292
51.08.04.2007,Gobleg,Banjar,Buleleng,Bali,2209,6963,0.0043,0.0042,0.4971,0.4945,0.1316,0.1619,0.2917,0.2733,0.0873,0.0543,0.0006,0.0007,0.0013,0.0012,0.0004,0.0002,0.0005,0.0007,0.0012,0.0011,0.0004,0.0002,0.0654,0.0805,0.145,0.1358,0.0434,0.027,0.065,0.08,0.1442,0.1351,0.0432,0.0268
51.02.05.2002,Gubug,Tabanan,Tabanan,Bali,1827,5497,0.0035,0.0044,0.4921,0.5001,0.1112,0.1273,0.2792,0.306,0.0962,0.08,0.0004,0.0004,0.001,0.0011,0.0003,0.0003,0.0005,0.0006,0.0012,0.0013,0.0004,0.0003,0.0547,0.0627,0.1374,0.1506,0.0474,0.0394,0.0556,0.0637,0.1396,0.153,0.0481,0.04
51.03.02.2012,Gulingan,Mengwi,Badung,Bali,2255,8615,0.0079,0.0079,0.4996,0.4846,0.1256,0.1436,0.2746,0.2939,0.0946,0.0677,0.001,0.0011,0.0022,0.0023,0.0007,0.0005,0.001,0.0011,0.0022,0.0023,0.0007,0.0005,0.0627,0.0717,0.1372,0.1468,0.0473,0.0338,0.0609,0.0696,0.1331,0.1424,0.0458,0.0328
51.01.03.2006,Gumbrih,Pekutatan,Jembrana,Bali,646,2842,0.0084,0.0032,0.4898,0.4986,0.0989,0.1358,0.2586,0.3001,0.1129,0.0936,0.0008,0.0011,0.0022,0.0025,0.001,0.0008,0.0003,0.0004,0.0008,0.001,0.0004,0.0003,0.0484,0.0665,0.1267,0.147,0.0553,0.0458,0.0493,0.0677,0.1289,0.1496,0.0563,0.0467
51.05.04.2005,Gunaksa,Dawan,Klungkung,Bali,1577,6116,0.0056,0.0039,0.4895,0.501,0.1445,0.1579,0.275,0.2559,0.097,0.0697,0.0008,0.0009,0.0015,0.0014,0.0005,0.0004,0.0006,0.0006,0.0011,0.001,0.0004,0.0003,0.0708,0.0773,0.1346,0.1253,0.0475,0.0341,0.0724,0.0791,0.1378,0.1282,0.0486,0.0349
51.02.02.2001,Gunung Salak,Selemadeg Timur,Tabanan,Bali,608,1690,0.0059,0.0018,0.4822,0.5101,0.0964,0.0976,0.2497,0.3018,0.1414,0.113,0.0006,0.0006,0.0015,0.0018,0.0008,0.0007,0.0002,0.0002,0.0004,0.0005,0.0003,0.0002,0.0465,0.0471,0.1204,0.1455,0.0682,0.0545,0.0492,0.0498,0.1274,0.1539,0.0721,0.0576
51.06.04.2033,Gunungbau,Kintamani,Bangli,Bali,175,648,0,0,0.5278,0.4722,0.1204,0.1667,0.2762,0.2731,0.0926,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0.0635,0.088,0.1458,0.1442,0.0489,0.0375,0.0568,0.0787,0.1304,0.129,0.0437,0.0335
51.08.02.2006,Gunungsari,Seririt,Buleleng,Bali,1152,3546,0.0054,0.0042,0.4961,0.4944,0.1165,0.1627,0.2676,0.2764,0.0928,0.084,0.0006,0.0009,0.0014,0.0015,0.0005,0.0005,0.0005,0.0007,0.0011,0.0012,0.0004,0.0004,0.0578,0.0807,0.1328,0.1371,0.046,0.0417,0.0576,0.0804,0.1323,0.1366,0.0459,0.0415
51.04.01.2003,Guwang,Sukawati,Gianyar,Bali,1452,6535,0.0043,0.0028,0.4888,0.5042,0.1073,0.1342,0.2679,0.3279,0.0944,0.0682,0.0005,0.0006,0.0011,0.0014,0.0004,0.0003,0.0003,0.0004,0.0007,0.0009,0.0003,0.0002,0.0524,0.0656,0.131,0.1603,0.0461,0.0334,0.0541,0.0677,0.1351,0.1653,0.0476,0.0344
51.03.03.2004,Jagapati,Abiansemal,Badung,Bali,1164,4074,0.0096,0.0039,0.4872,0.4993,0.1203,0.1583,0.2749,0.3115,0.0869,0.0481,0.0012,0.0015,0.0026,0.003,0.0008,0.0005,0.0005,0.0006,0.0011,0.0012,0.0003,0.0002,0.0586,0.0771,0.1339,0.1518,0.0423,0.0234,0.06,0.079,0.1373,0.1555,0.0434,0.024
51.08.07.2009,Jagaraga,Sawan,Buleleng,Bali,1350,4105,0.0066,0.0058,0.5004,0.4872,0.1435,0.1737,0.2699,0.2709,0.0736,0.0685,0.0009,0.0011,0.0018,0.0018,0.0005,0.0005,0.0008,0.001,0.0016,0.0016,0.0004,0.0004,0.0718,0.0869,0.1351,0.1355,0.0368,0.0343,0.0699,0.0846,0.1315,0.132,0.0358,0.0334
51.02.08.2013,Jatiluwih,Penebel,Tabanan,Bali,1060,2992,0.0084,0.0064,0.4883,0.497,0.116,0.124,0.2547,0.2978,0.1207,0.0869,0.001,0.001,0.0021,0.0025,0.001,0.0007,0.0007,0.0008,0.0016,0.0019,0.0008,0.0006,0.0566,0.0605,0.1244,0.1454,0.0589,0.0424,0.0576,0.0616,0.1266,0.148,0.06,0.0432
51.02.08.2002,Jegu,Penebel,Tabanan,Bali,1263,3435,0.0087,0.0122,0.4739,0.5051,0.0952,0.1124,0.2285,0.2801,0.1392,0.1447,0.0008,0.001,0.002,0.0024,0.0012,0.0013,0.0012,0.0014,0.0028,0.0034,0.0017,0.0018,0.0451,0.0533,0.1083,0.1327,0.066,0.0686,0.0481,0.0568,0.1154,0.1415,0.0703,0.0731
51.06.03.2001,Jehem,Tembuku,Bangli,Bali,2619,8369,0.0087,0.0059,0.4979,0.4875,0.1194,0.1615,0.2726,0.2821,0.0905,0.074,0.001,0.0014,0.0024,0.0025,0.0008,0.0006,0.0007,0.0009,0.0016,0.0017,0.0005,0.0004,0.0594,0.0804,0.1357,0.1405,0.045,0.0368,0.0582,0.0788,0.1329,0.1375,0.0441,0.0361
51.02.10.2010,Jelijih Punggung,Pupuan,Tabanan,Bali,492,1423,0.0063,0.0049,0.4954,0.4933,0.0921,0.1033,0.272,0.3303,0.1237,0.0787,0.0006,0.0007,0.0017,0.0021,0.0008,0.0005,0.0005,0.0005,0.0013,0.0016,0.0006,0.0004,0.0456,0.0512,0.1347,0.1636,0.0613,0.039,0.0454,0.051,0.1342,0.1629,0.061,0.0388
51.03.05.1006,Jimbaran,Kuta Selatan,Badung,Bali,11959,44935,0.0011,0.0006,0.4951,0.5033,0.1179,0.1662,0.3042,0.3273,0.0552,0.0293,0.0001,0.0002,0.0003,0.0003,0.0001,0,0.0001,0.0001,0.0002,0.0002,0,0,0.0583,0.0823,0.1506,0.162,0.0273,0.0145,0.0593,0.0836,0.1531,0.1647,0.0278,0.0148
51.08.06.2018,Jinangdalem,Buleleng,Buleleng,Bali,1868,5885,0.0044,0.0025,0.5006,0.4924,0.1461,0.1669,0.2919,0.2654,0.0726,0.0571,0.0006,0.0007,0.0013,0.0012,0.0003,0.0003,0.0004,0.0004,0.0007,0.0007,0.0002,0.0001,0.0732,0.0835,0.1461,0.1329,0.0363,0.0286,0.072,0.0822,0.1438,0.1307,0.0357,0.0281
51.08.02.2010,Joanyar,Seririt,Buleleng,Bali,1177,3573,0.0073,0.0064,0.5088,0.4775,0.1394,0.162,0.2869,0.2704,0.0784,0.063,0.001,0.0012,0.0021,0.002,0.0006,0.0005,0.0009,0.001,0.0018,0.0017,0.0005,0.0004,0.0709,0.0825,0.146,0.1376,0.0399,0.032,0.0665,0.0774,0.137,0.1291,0.0374,0.0301
51.08.09.2003,Julah,Tejakula,Buleleng,Bali,1555,4879,0.0012,0.0018,0.512,0.4849,0.1535,0.1863,0.2931,0.2589,0.0545,0.0537,0.0002,0.0002,0.0004,0.0003,0.0001,0.0001,0.0003,0.0003,0.0005,0.0005,0.0001,0.0001,0.0786,0.0954,0.1501,0.1325,0.0279,0.0275,0.0744,0.0903,0.1421,0.1255,0.0264,0.026
51.05.03.2005,Jumpai,Klungkung,Klungkung,Bali,510,2041,0.0029,0.0029,0.4924,0.5017,0.1181,0.148,0.2719,0.3013,0.0911,0.0696,0.0003,0.0004,0.0008,0.0009,0.0003,0.0002,0.0003,0.0004,0.0008,0.0009,0.0003,0.0002,0.0581,0.0729,0.1339,0.1484,0.0449,0.0343,0.0592,0.0742,0.1364,0.1512,0.0457,0.0349
51.07.06.2005,Jungutan,Bebandem,Karangasem,Bali,2700,8405,0.0051,0.0027,0.4993,0.4928,0.1387,0.1429,0.2857,0.2733,0.0817,0.0777,0.0007,0.0007,0.0015,0.0014,0.0004,0.0004,0.0004,0.0004,0.0008,0.0007,0.0002,0.0002,0.0693,0.0714,0.1426,0.1365,0.0408,0.0388,0.0684,0.0704,0.1408,0.1347,0.0403,0.0383
51.05.01.2013,Jungutbatu,Nusa Penida,Klungkung,Bali,935,4059,0.0047,0.003,0.5006,0.4917,0.1229,0.1471,0.257,0.3011,0.0852,0.0867,0.0006,0.0007,0.0012,0.0014,0.0004,0.0004,0.0004,0.0004,0.0008,0.0009,0.0003,0.0003,0.0615,0.0736,0.1286,0.1507,0.0427,0.0434,0.0605,0.0723,0.1264,0.148,0.0419,0.0426
51.02.06.2007,Kaba-kaba,Kediri,Tabanan,Bali,2115,7671,0.0034,0.0016,0.5054,0.4896,0.1318,0.1332,0.2783,0.2838,0.1006,0.0722,0.0004,0.0005,0.0009,0.001,0.0003,0.0002,0.0002,0.0002,0.0004,0.0004,0.0002,0.0001,0.0666,0.0673,0.1407,0.1434,0.0509,0.0365,0.0645,0.0652,0.1363,0.139,0.0493,0.0354
51.01.01.2004,Kaliakah,Negara,Jembrana,Bali,3028,9695,0.0024,0.0018,0.5023,0.4936,0.144,0.1572,0.2828,0.2699,0.0881,0.058,0.0003,0.0004,0.0007,0.0006,0.0002,0.0001,0.0003,0.0003,0.0005,0.0005,0.0002,0.0001,0.0723,0.079,0.1421,0.1356,0.0442,0.0291,0.0711,0.0776,0.1396,0.1332,0.0435,0.0286
51.08.02.2009,Kalianget,Seririt,Buleleng,Bali,1665,4956,0.0081,0.004,0.5036,0.4843,0.1291,0.1542,0.2857,0.2782,0.0874,0.0654,0.001,0.0012,0.0023,0.0022,0.0007,0.0005,0.0005,0.0006,0.0012,0.0011,0.0004,0.0003,0.065,0.0776,0.1439,0.1401,0.044,0.0329,0.0625,0.0747,0.1384,0.1347,0.0423,0.0317
51.08.04.2017,Kaliasem,Banjar,Buleleng,Bali,2512,7895,0.0022,0.0016,0.5064,0.4898,0.1443,0.1657,0.3044,0.2714,0.0697,0.0446,0.0003,0.0004,0.0007,0.0006,0.0002,0.0001,0.0002,0.0003,0.0005,0.0004,0.0001,0.0001,0.0731,0.0839,0.1541,0.1375,0.0353,0.0226,0.0707,0.0811,0.1491,0.133,0.0341,0.0218
51.08.06.2001,Kalibukbuk,Buleleng,Buleleng,Bali,2215,7292,0.0032,0.0018,0.4982,0.4968,0.1382,0.1661,0.3127,0.2778,0.0651,0.04,0.0004,0.0005,0.001,0.0009,0.0002,0.0001,0.0002,0.0003,0.0006,0.0005,0.0001,0.0001,0.0689,0.0827,0.1558,0.1384,0.0325,0.02,0.0687,0.0825,0.1553,0.138,0.0324,0.0199
51.08.02.2020,Kalisada,Seririt,Buleleng,Bali,1074,3214,0.0025,0.0009,0.4966,0.5,0.136,0.1528,0.294,0.2623,0.0996,0.0554,0.0003,0.0004,0.0007,0.0007,0.0002,0.0001,0.0001,0.0001,0.0003,0.0002,0.0001,0.0001,0.0675,0.0759,0.146,0.1302,0.0494,0.0275,0.068,0.0764,0.147,0.1311,0.0498,0.0277
51.08.06.1024,Kaliuntu,Buleleng,Buleleng,Bali,1551,4706,0.0034,0.0015,0.4928,0.5023,0.1196,0.1747,0.2667,0.2792,0.0914,0.0684,0.0004,0.0006,0.0009,0.0009,0.0003,0.0002,0.0002,0.0003,0.0004,0.0004,0.0001,0.0001,0.059,0.0861,0.1314,0.1376,0.045,0.0337,0.0601,0.0877,0.134,0.1403,0.0459,0.0344
51.05.03.2007,Kamasan,Klungkung,Klungkung,Bali,1170,4440,0.0045,0.0025,0.4892,0.5038,0.1169,0.1541,0.2727,0.2908,0.0946,0.0709,0.0005,0.0007,0.0012,0.0013,0.0004,0.0003,0.0003,0.0004,0.0007,0.0007,0.0002,0.0002,0.0572,0.0754,0.1334,0.1422,0.0463,0.0347,0.0589,0.0776,0.1374,0.1465,0.0477,0.0357
