Village Code,Village,District,Regency/City,Province,Household,Total Population,D1_Disabled Male Ratio,D2_Disabled Female Ratio,D3_Non Disabled Male Ratio,D4_Non Disable Female Ratio,A1_Children Ratio,A2_Adolescent Ratio,A3_Young Adults Ratio,A4_Middle Age Ratio,A5_Elderly Ratio,A6_Senior Ratio,D1A1,D1A2,D1A3,D1A4,D1A5,D1A6,D2A1,D2A2,D2A3,D2A4,D2A5,D2A6,D3A1,D3A2,D3A3,D3A4,D3A5,D3A6,D4A1,D4A2,D4A3,D4A4,D4A5,D4A6
51.08.05.2003,Ambengan,Sukasada,Buleleng,Bali,1429,4546,0.0073,0.0029,0.4925,0.4974,0.1337,0.1692,0.286,0.275,0.0774,0.0587,0.001,0.0012,0.0021,0.002,0.0006,0.0004,0.0004,0.0005,0.0008,0.0008,0.0002,0.0002,0.0659,0.0833,0.1408,0.1354,0.0381,0.0289,0.0665,0.0841,0.1422,0.1368,0.0385,0.0292
51.07.07.2008,Amerta Bhuana,Selat,Karangasem,Bali,1242,3705,0.0035,0.003,0.4918,0.5018,0.1269,0.1609,0.2858,0.2734,0.0758,0.0772,0.0004,0.0006,0.001,0.001,0.0003,0.0003,0.0004,0.0005,0.0008,0.0008,0.0002,0.0002,0.0624,0.0791,0.1406,0.1345,0.0373,0.038,0.0637,0.0807,0.1434,0.1372,0.0381,0.0387
51.03.03.2005,Angantaka,Abiansemal,Badung,Bali,1336,4526,0.0033,0.0018,0.4881,0.5068,0.1209,0.1529,0.2715,0.3051,0.0908,0.0588,0.0004,0.0005,0.0009,0.001,0.0003,0.0002,0.0002,0.0003,0.0005,0.0005,0.0002,0.0001,0.059,0.0746,0.1325,0.1489,0.0443,0.0287,0.0613,0.0775,0.1376,0.1547,0.046,0.0298
51.02.03.2009,Angkah,Selemadeg Barat,Tabanan,Bali,735,2115,0.0052,0.0071,0.4946,0.4931,0.1097,0.1272,0.2591,0.2979,0.1121,0.0941,0.0006,0.0007,0.0013,0.0015,0.0006,0.0005,0.0008,0.0009,0.0018,0.0021,0.0008,0.0007,0.0542,0.0629,0.1281,0.1473,0.0554,0.0465,0.0541,0.0627,0.1278,0.1469,0.0553,0.0464
51.02.09.2004,Angseri,Baturiti,Tabanan,Bali,1486,4700,0.0028,0.0017,0.5,0.4955,0.1194,0.1279,0.2834,0.287,0.0934,0.0889,0.0003,0.0004,0.0008,0.0008,0.0003,0.0002,0.0002,0.0002,0.0005,0.0005,0.0002,0.0002,0.0597,0.0639,0.1417,0.1435,0.0467,0.0445,0.0591,0.0634,0.1404,0.1422,0.0463,0.0441
51.02.01.2007,Antap,Selemadeg,Tabanan,Bali,842,2961,0.0051,0.0034,0.49,0.5015,0.105,0.1189,0.2634,0.305,0.1199,0.0878,0.0005,0.0006,0.0013,0.0015,0.0006,0.0004,0.0004,0.0004,0.0009,0.001,0.0004,0.0003,0.0515,0.0583,0.1291,0.1494,0.0588,0.043,0.0527,0.0596,0.1321,0.1529,0.0601,0.044
51.02.09.2007,Antapan,Baturiti,Tabanan,Bali,1277,3786,0.0045,0.0011,0.5032,0.4913,0.1107,0.1405,0.2802,0.2916,0.1088,0.0681,0.0005,0.0006,0.0013,0.0013,0.0005,0.0003,0.0001,0.0001,0.0003,0.0003,0.0001,0.0001,0.0557,0.0707,0.141,0.1467,0.0548,0.0343,0.0544,0.069,0.1377,0.1433,0.0535,0.0335
51.07.03.2002,Antiga,Manggis,Karangasem,Bali,2120,7571,0,0,0.4976,0.5024,0.1436,0.1836,0.2893,0.2606,0.0614,0.0616,0,0,0,0,0,0,0,0,0,0,0,0,0.0714,0.0913,0.1439,0.1297,0.0306,0.0306,0.0721,0.0922,0.1453,0.1309,0.0309,0.0309
51.07.03.2010,Antiga Kelod,Manggis,Karangasem,Bali,1639,5786,0.0052,0.0024,0.4908,0.5016,0.149,0.1785,0.2872,0.2572,0.0596,0.0684,0.0008,0.0009,0.0015,0.0013,0.0003,0.0004,0.0004,0.0004,0.0007,0.0006,0.0001,0.0002,0.0731,0.0876,0.141,0.1262,0.0293,0.0336,0.0747,0.0895,0.1441,0.129,0.0299,0.0343
51.02.03.2004,Antosari,Selemadeg Barat,Tabanan,Bali,657,1843,0.006,0.0043,0.4938,0.4959,0.1047,0.115,0.2675,0.2664,0.1264,0.1199,0.0006,0.0007,0.0016,0.0016,0.0008,0.0007,0.0005,0.0005,0.0012,0.0012,0.0005,0.0005,0.0517,0.0568,0.1321,0.1315,0.0624,0.0592,0.0519,0.057,0.1327,0.1321,0.0627,0.0595
51.08.06.2002,Anturan,Buleleng,Buleleng,Bali,2087,6727,0.0036,0.0009,0.4941,0.5014,0.1253,0.1769,0.307,0.2703,0.0746,0.0459,0.0004,0.0006,0.0011,0.001,0.0003,0.0002,0.0001,0.0002,0.0003,0.0002,0.0001,0,0.0619,0.0874,0.1517,0.1335,0.0369,0.0227,0.0628,0.0887,0.1539,0.1355,0.0374,0.023
51.02.09.2003,Apuan,Baturiti,Tabanan,Bali,1097,3791,0.0137,0.0161,0.4859,0.4843,0.0958,0.12,0.2627,0.3044,0.1113,0.1058,0.0013,0.0016,0.0036,0.0042,0.0015,0.0015,0.0015,0.0019,0.0042,0.0049,0.0018,0.0017,0.0465,0.0583,0.1277,0.1479,0.0541,0.0514,0.0464,0.0581,0.1272,0.1474,0.0539,0.0512
51.06.01.2001,Apuan,Susut,Bangli,Bali,1430,4709,0.0096,0.0079,0.4976,0.485,0.1206,0.1448,0.2478,0.2941,0.1,0.0926,0.0012,0.0014,0.0024,0.0028,0.001,0.0009,0.0009,0.0011,0.0019,0.0023,0.0008,0.0007,0.06,0.0721,0.1233,0.1463,0.0498,0.0461,0.0585,0.0702,0.1202,0.1427,0.0485,0.0449
51.01.03.2003,Asahduren,Pekutatan,Jembrana,Bali,908,3649,0.006,0.0074,0.4999,0.4867,0.0998,0.145,0.2751,0.3269,0.0973,0.0559,0.0006,0.0009,0.0017,0.002,0.0006,0.0003,0.0007,0.0011,0.002,0.0024,0.0007,0.0004,0.0499,0.0725,0.1375,0.1634,0.0486,0.0279,0.0486,0.0706,0.1339,0.1591,0.0474,0.0272
51.08.06.1022,Astina,Buleleng,Buleleng,Bali,897,2581,0.0054,0.0031,0.4998,0.4917,0.1306,0.1651,0.2914,0.2615,0.086,0.0655,0.0007,0.0009,0.0016,0.0014,0.0005,0.0004,0.0004,0.0005,0.0009,0.0008,0.0003,0.0002,0.0653,0.0825,0.1456,0.1307,0.043,0.0327,0.0642,0.0812,0.1433,0.1286,0.0423,0.0322
51.06.04.2032,Awan,Kintamani,Bangli,Bali,390,1375,0.0065,0.0029,0.4858,0.5047,0.1425,0.1789,0.2931,0.2407,0.0989,0.0458,0.0009,0.0012,0.0019,0.0016,0.0006,0.0003,0.0004,0.0005,0.0009,0.0007,0.0003,0.0001,0.0693,0.0869,0.1424,0.1169,0.0481,0.0223,0.0719,0.0903,0.1479,0.1215,0.0499,0.0231
51.03.03.2012,Ayunan,Abiansemal,Badung,Bali,777,2636,0.0076,0.0102,0.4992,0.4829,0.1286,0.1347,0.2841,0.2902,0.0892,0.0732,0.001,0.001,0.0022,0.0022,0.0007,0.0006,0.0013,0.0014,0.0029,0.003,0.0009,0.0007,0.0642,0.0672,0.1419,0.1449,0.0445,0.0366,0.0621,0.065,0.1372,0.1402,0.0431,0.0354
51.02.08.2011,Babahan,Penebel,Tabanan,Bali,1336,3668,0.0035,0.0016,0.4899,0.5049,0.1014,0.1044,0.2497,0.3023,0.1382,0.1039,0.0004,0.0004,0.0009,0.0011,0.0005,0.0004,0.0002,0.0002,0.0004,0.0005,0.0002,0.0002,0.0497,0.0512,0.1223,0.1481,0.0677,0.0509,0.0512,0.0527,0.1261,0.1527,0.0698,0.0524
51.03.02.2008,Baha,Mengwi,Badung,Bali,1181,3987,0.0048,0.0055,0.4989,0.4908,0.1186,0.1334,0.2739,0.3088,0.0893,0.076,0.0006,0.0006,0.0013,0.0015,0.0004,0.0004,0.0007,0.0007,0.0015,0.0017,0.0005,0.0004,0.0592,0.0666,0.1366,0.154,0.0445,0.0379,0.0582,0.0655,0.1344,0.1516,0.0438,0.0373
51.02.01.2001,Bajera,Selemadeg,Tabanan,Bali,1567,4755,0.0038,0.005,0.4942,0.497,0.122,0.1415,0.2946,0.2843,0.0917,0.0658,0.0005,0.0005,0.0011,0.0011,0.0003,0.0002,0.0006,0.0007,0.0015,0.0014,0.0005,0.0003,0.0603,0.0699,0.1456,0.1405,0.0453,0.0325,0.0606,0.0703,0.1464,0.1413,0.0456,0.0327
51.02.01.2010,Bajera Utara,Selemadeg,Tabanan,Bali,396,1194,0.0059,0.0008,0.4749,0.5184,0.1072,0.1281,0.2387,0.2755,0.1256,0.1248,0.0006,0.0008,0.0014,0.0016,0.0007,0.0007,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0509,0.0609,0.1133,0.1308,0.0597,0.0593,0.0556,0.0664,0.1237,0.1428,0.0651,0.0647
51.05.02.2005,Bakas,Banjarangkan,Klungkung,Bali,569,2414,0.0091,0.0037,0.4917,0.4954,0.1118,0.1611,0.2792,0.2879,0.0795,0.0804,0.001,0.0015,0.0025,0.0026,0.0007,0.0007,0.0004,0.0006,0.001,0.0011,0.0003,0.0003,0.055,0.0792,0.1373,0.1416,0.0391,0.0395,0.0554,0.0798,0.1383,0.1426,0.0394,0.0398
51.04.03.2009,Bakbakan,Gianyar,Gianyar,Bali,1298,5776,0.0016,0.0019,0.5064,0.4901,0.1226,0.142,0.2832,0.2772,0.1015,0.0736,0.0002,0.0002,0.0004,0.0004,0.0002,0.0001,0.0002,0.0003,0.0005,0.0005,0.0002,0.0001,0.0621,0.0719,0.1434,0.1404,0.0514,0.0373,0.0601,0.0696,0.1388,0.1359,0.0497,0.0361
51.08.06.2005,Baktiseraga,Buleleng,Buleleng,Bali,2172,6723,0.0003,0,0.5033,0.4964,0.1425,0.1523,0.3182,0.2512,0.095,0.0408,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0.0717,0.0767,0.1601,0.1265,0.0478,0.0205,0.0707,0.0756,0.1579,0.1247,0.0472,0.0202
51.01.01.1006,Baler Bale Agung,Negara,Jembrana,Bali,3637,12113,0.0026,0.0017,0.5023,0.4934,0.1351,0.1574,0.295,0.2852,0.0799,0.0473,0.0004,0.0004,0.0008,0.0008,0.0002,0.0001,0.0002,0.0003,0.0005,0.0005,0.0001,0.0001,0.0679,0.0791,0.1482,0.1433,0.0401,0.0238,0.0667,0.0777,0.1456,0.1407,0.0394,0.0233
51.01.01.2002,Baluk,Negara,Jembrana,Bali,2460,7940,0.0029,0.0023,0.5019,0.4929,0.1442,0.1535,0.295,0.2773,0.0827,0.0472,0.0004,0.0004,0.0009,0.0008,0.0002,0.0001,0.0003,0.0003,0.0007,0.0006,0.0002,0.0001,0.0724,0.0771,0.148,0.1392,0.0415,0.0237,0.0711,0.0757,0.1454,0.1367,0.0408,0.0233
51.07.08.2001,Ban,Kubu,Karangasem,Bali,4202,14222,0,0,0.5152,0.4848,0.1673,0.1793,0.3246,0.228,0.0551,0.0456,0,0,0,0,0,0,0,0,0,0,0,0,0.0862,0.0924,0.1672,0.1175,0.0284,0.0235,0.0811,0.0869,0.1574,0.1106,0.0267,0.0221
51.06.03.2005,Bangbang,Tembuku,Bangli,Bali,1546,5147,0.0014,0.0012,0.5114,0.4861,0.1273,0.1385,0.279,0.2893,0.0859,0.08,0.0002,0.0002,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002,0.0003,0.0003,0.0001,0.0001,0.0651,0.0708,0.1427,0.1479,0.0439,0.0409,0.0619,0.0673,0.1356,0.1406,0.0417,0.0389
